influencer_insta_name,instagram_name,category_1,category_2,followers,audience_country_mostly,authentic_engagement,engagement_avg
aespa_official,aespa 에스파,NA,NA,8300000,Indonesia,1100000,1600000
agustd,SUGA of BTS 민윤기,NA,NA,31500000,N/A,10900000,10900000
aishwaryaraibachchan_arb,AishwaryaRaiBachchan,Cinema & Actors/actresses,NA,1e+07,India,247600,316500
aislinnderbez,𝔸 𝕀 𝕊 𝕃 𝕀 ℕ ℕ  𝕕 𝕖 𝕣 𝕓 𝕖 𝕫,Cinema & Actors/actresses,NA,1.2e+07,Mexico,235700,295400
akshaykumar,Akshay Kumar,Cinema & Actors/actresses,NA,61100000,India,815300,971000
alejandrospeitzer,Alejandro Speitzer,Lifestyle,NA,5100000,Mexico,313300,488600
aleoliveiracm,Alê Oliveira,Humor & Fun & Happiness,NA,8300000,Brazil,235800,598400
alexademie,NA,NA,NA,10800000,United States,1200000,2100000
alexandradaddario,alexandra daddario,Cinema & Actors/actresses,NA,22400000,India,487900,596600
alexis_officia1,Sanchez Alexis,Sports with a ball,NA,13400000,Chile,185200,304800
alexisren,Alexis Ren,Lifestyle,NA,15800000,United States,102000,158100
alfinetei,Alfinetadas Dos Famosos 📌,Humor & Fun & Happiness,NA,21100000,Brazil,99500,223600
aliaabhatt,Alia Bhatt 🤍☀️,Cinema & Actors/actresses,NA,61800000,India,1200000,1500000
alidaei,Ali Daei,Sports with a ball,NA,8e+06,Iran,555800,937000
aliiiiiiiikarimi8,Ali Karimi,Sports with a ball,NA,9100000,Iran,328700,495100
alishalehmann7,Alisha Lehmann,Sports with a ball,NA,6800000,Brazil,373800,705300
alluarjunonline,Allu Arjun,Cinema & Actors/actresses,NA,17600000,India,1600000,2e+06
alok,Alok,Music,Art/Artists,2.7e+07,Brazil,249600,319900
alvaromorata,Álvaro Morata,Sports with a ball,Literature & Journalism,16200000,Italy,113100,175200
alvaromorte,Álvaro Morte,Cinema & Actors/actresses,NA,12400000,India,244500,334700
alvxaro,ALVARO,Lifestyle,NA,9200000,Brazil,169600,424700
alwaysramcharan,Ram Charan,Lifestyle,Cinema & Actors/actresses,5600000,India,596800,668300
amadorat,N I C O L E   A M A D O 🐉,Fashion,Lifestyle,8100000,Mexico,505000,564400
amandacerny,Amanda 𝕮𝖊𝖗𝖓𝖞,Humor & Fun & Happiness,NA,24100000,India,112900,180600
amandamanopo,NA,Modeling,Beauty,15200000,Indonesia,189600,250500
amarantavp,A M A 🤍,NA,NA,4900000,Mexico,483800,605600
amauryguichon,Amaury Guichon,Food & Cooking,NA,6700000,United States,357300,435700
amitabhbachchan,Amitabh Bachchan,Cinema & Actors/actresses,NA,3e+07,India,88500,103600
amybethmcnulty,AB Mcn,Lifestyle,Cinema & Actors/actresses,6300000,Brazil,561400,771300
ana_d_armas,A N A   D E   A R M A S,Cinema & Actors/actresses,Lifestyle,6100000,United States,543400,735300
ananyapanday,Ananya 💛💫,Cinema & Actors/actresses,NA,21900000,India,318200,371800
anasmarwah,Anas Marwah,Family,Shows,5500000,Iraq,431800,557500
andreavaldirisos,ANDREA VALDIRI 🇨🇴,Lifestyle,Beauty,7700000,Colombia,411300,584300
andresiniesta8,Andres Iniesta,Sports with a ball,NA,3.9e+07,Spain,91500,132300
angela_aguilar_,Ángela Aguilar 🇲🇽,Lifestyle,NA,8200000,Mexico,285500,346000
angeldimariajm,Ángel Di María,Sports with a ball,NA,16300000,Argentina,294600,434100
angelinajolie,Angelina Jolie,NA,NA,12600000,Brazil,274600,456200
angelinajolie,Angelina Jolie,Lifestyle,NA,12600000,Brazil,274600,456100
angeliqueboyer,Angelique Boyer,Shows,Cinema & Actors/actresses,13900000,Brazil,247400,310600
angelrai07,Angel Rai :),Humor & Fun & Happiness,NA,14900000,India,462200,557400
anguscloud,Angus Cloud,NA,NA,8300000,United States,1300000,2100000
anitta,Anitta 🎤,Music,NA,61100000,Brazil,542800,1e+06
anjimaxuofficially,Anjali Arora,Lifestyle,NA,11100000,India,173300,221200
annakendrick47,Anna Kendrick,Cinema & Actors/actresses,NA,20300000,United States,210000,274200
annecurtissmith,Anne Curtis,Music,Cinema & Actors/actresses,17800000,Philippines,134700,152300
annehathaway,Anne Hathaway,Cinema & Actors/actresses,NA,22600000,United States,704300,928400
annemarie,ANNE-MARIE,Shows,Music,9200000,India,242500,339600
ansufati,Ansu Fati,Sports with a ball,NA,8e+06,Spain,475200,721000
anthonyjoshua,Throwback Fighter 🧠,Fitness & Gym,NA,13600000,United Kingdom,142000,192800
antogriezmann,Antoine Griezmann,Sports with a ball,NA,35500000,Spain,205300,329600
antonelaroccuzzo,Antonela Roccuzzo,Modeling,Family,1.9e+07,Argentina,970700,1600000
anuel,“REAL HASTA LA MUERTE”,Music,NA,27900000,Spain,586000,892100
anupamaparameswaran96,Anupama Parameswaran,Cinema & Actors/actresses,NA,11400000,India,510400,583300
anushkasen0408,Anushka Sen,Cinema & Actors/actresses,NA,34500000,India,379100,443800
anushkasharma,AnushkaSharma1588,Cinema & Actors/actresses,NA,57500000,India,1100000,1300000
anyageraldine,anya geraldine,Music,NA,10700000,Indonesia,182300,305200
anyataylorjoy,Anya Taylor-Joy,NA,NA,8800000,United States,679600,979900
aoc,Alexandria Ocasio-Cortez,NA,NA,8500000,United States,290100,363000
apple,apple,Computers & Gadgets,Photography,27400000,India,83400,111200
araikgalstyanmoscowschool,ＡＲＡＩＫ  ＧＡＬＳＴＹＡＮ®️,Beauty,NA,1.3e+07,Turkey,323000,416700
arianagrande,Ariana Grande,Music,NA,302300000,United States,2900000,4100000
arigameplays,ARIGAMEPLAYS,NA,NA,9700000,Mexico,900600,1100000
arishfakhan138,Sayyed Arishfa Khan 💎,Cinema & Actors/actresses,NA,2.8e+07,India,183100,221400
arminzareeiofficial,Armin Zareei,NA,NA,9500000,Iran,178500,286100
aron.piper,ARON🌜🌞,Music,Lifestyle,13900000,Brazil,273100,515600
arsenal,Arsenal Official,Sports with a ball,NA,21500000,United Kingdom,79900,120000
arthuraguiar,Arthur Aguiar,Music,Cinema & Actors/actresses,12700000,Brazil,104100,236800
asalamaleh,Asala Maleh,Shows,NA,6600000,Iraq,415900,514500
asaprocky,GRIM,Music,NA,14600000,United States,383600,641700
ashishchanchlani,Ashish Chanchlani,Cinema & Actors/actresses,NA,13300000,India,832600,1e+06
ashleybenson,Ashley Benson,Modeling,NA,22400000,Brazil,101000,144300
ashleygraham,A S H L E Y  G R A H A M,Modeling,NA,17200000,United States,392700,519500
aslisona,Sonakshi Sinha,Cinema & Actors/actresses,Lifestyle,21400000,India,110200,134100
ateez_official_,ATEEZ(에이티즈),Music,NA,6300000,United States,410900,472100
attahalilintar,Atta Halilintar - PAPATA,Art/Artists,Shows,23100000,Indonesia,140200,192300
auba,Pierre-Emerick Aubameyang,Sports with a ball,NA,1.2e+07,United Kingdom,379300,602100
aum_patchrapa,Patchrapa Chai,Cinema & Actors/actresses,Lifestyle,14100000,Thailand,150300,179200
aurelie.hermansyah,Aurelie Hermansyah Atta,Beauty,NA,25300000,Indonesia,475200,601100
avani,avani,Beauty,Lifestyle,18800000,United States,337000,451900
avneetkaur_13,Avneet Kaur Official,Cinema & Actors/actresses,NA,30500000,India,281300,341100
avrillavigne,Avril Lavigne,Music,Cinema & Actors/actresses,10700000,Brazil,211200,263000
awez_darbar,Awez Darbar,Shows,Humor & Fun & Happiness,17800000,India,466000,558400
aykutelmas,Aykut Elmas,Cinema & Actors/actresses,Photography,6800000,Turkey,321000,376500
badbunnypr,NA,Music,NA,38500000,United States,2500000,3900000
badgalriri,badgalriri,Music,Beauty,125100000,United States,2800000,4600000
baifernbah,baifernbah,Lifestyle,NA,10400000,Indonesia,224500,284600
bambam1a,BamBam,Music,NA,1.6e+07,Brazil,684300,863000
barackobama,Barack Obama,Finance & Economics,Business & Careers,35400000,United States,148300,174600
barbieferreira,barbie ferreira,NA,NA,6100000,United States,635500,1200000
bbrightvc,bright,Cinema & Actors/actresses,NA,13500000,Indonesia,1700000,2e+06
bclsinclair,Bunga Citra Lestari,Music,NA,20200000,Indonesia,153500,242600
beberexha,Bebe Rexha,Music,Lifestyle,10800000,India,221500,327000
bebytsabina,Cut Beby Tshabina,Modeling,NA,7100000,Indonesia,243400,373900
beingsalmankhan,Salman Khan,Cinema & Actors/actresses,Art/Artists,50700000,India,474600,604400
belindapop,Beli,Music,NA,14900000,Mexico,136700,197000
bellahadid,Bella 🦋,Modeling,NA,50600000,United States,566900,905300
bellapoarch,Bella Poarch,NA,NA,14300000,United States,859500,1200000
bellathorne,BELLA,Music,Art/Artists,25200000,United States,289500,485700
bernardokath,Kathryn Bernardo 🐘,Beauty,Cinema & Actors/actresses,16800000,Philippines,452700,545400
beyonce,Beyoncé,Music,Fashion,246900000,United States,2600000,3700000
bhadbhabie,ℬ𝒽𝒶𝒷𝒾ℯ🦋,Music,NA,16400000,United States,143100,268000
bhuvan.bam22,Bhuvan Bam,Cinema & Actors/actresses,NA,14200000,India,741000,915800
bianca,BOCA ROSA,Beauty,NA,17700000,Brazil,73600,172200
bibisbeautypalace,! Bibi,Family,Lifestyle,7800000,Germany,322700,369600
bighit_ent,BigHit Music Updates,Music,NA,1.3e+07,Indonesia,721300,888500
bigsean,BIGSEAN,Music,Art/Artists,14600000,United States,169900,310300
billieeilish,BILLIE EILISH,Music,NA,101700000,United States,2600000,3400000
bizarrap,BZRP,Music,NA,11500000,Argentina,920800,1100000
blackpinkofficial,BLΛƆKPIИK,Music,NA,46200000,Indonesia,1100000,1400000
blakelively,Blake Lively,Cinema & Actors/actresses,NA,3.2e+07,United States,827100,1300000
bleacherreport,Bleacher Report,Sports with a ball,NA,18400000,United States,103800,204700
blythe,Andrea Brillantes,Cinema & Actors/actresses,Modeling,13400000,Philippines,196900,224100
bmw,BMW,Cars & Motorbikes,NA,33100000,India,73100,97600
bn_sj2013,박서준,Cinema & Actors/actresses,Modeling,21400000,Indonesia,2500000,2900000
bobbyindaeyo,💀,Music,NA,3400000,Indonesia,679100,791200
borodylia,Ксения Бородина,Shows,Family,18200000,Russia,123000,153200
bramastavrl,Verrell Bramasta,Cinema & Actors/actresses,Lifestyle,23700000,Indonesia,109100,138900
brentrivera,Brent Rivera,Music,Cinema & Actors/actresses,22100000,United States,888300,1200000
bretmanrock,Bretman (Da Baddest) Rock,Art/Artists,Beauty,18300000,United States,551000,927900
brfootball,Bleacher Report Football,Sports with a ball,NA,11900000,United States,146000,236000
briandadeyanara,BRIANDA 💖,NA,NA,12600000,Mexico,355200,417300
brianmaps,Брайн Мапс (Макс Тарасенко),Photography,NA,5800000,Russia,608400,627900
britneyspears,Britney Spears,Music,NA,40200000,United States,180500,251600
brunamarquezine,Bruna Marquezine,Cinema & Actors/actresses,NA,42600000,Brazil,485200,837200
brunomars,Bruno Mars,Music,NA,24900000,Brazil,328700,499000
brycehall,Bryce Hall,Music,NA,7500000,United States,279200,358700
bts.bighitofficial,BTS official,Music,NA,61700000,Indonesia,2400000,2600000
bugatti,BUGATTI,Cars & Motorbikes,Luxury,16100000,United States,124100,168500
bumkeyk,SHINee KEY,Music,NA,9e+06,Indonesia,376300,451600
burakozcivit,Burak Özçivit,Cinema & Actors/actresses,NA,20500000,Turkey,492800,597500
burcuozberk,Burcu Özberk,Cinema & Actors/actresses,NA,9e+06,Turkey,560900,725600
bypamella,BY PAMELLA ✨🧿,Shows,NA,9400000,Brazil,237700,406800
c.syresmith,Jaden Smith,Cinema & Actors/actresses,Lifestyle,18600000,United States,190100,294600
camerondallas,Cameron Dallas,Cinema & Actors/actresses,NA,2.3e+07,United States,104800,182600
camila_cabello,camila,Music,NA,60900000,Brazil,305400,418100
camilaloures,Camila Loures,Shows,NA,17600000,Brazil,131500,196300
camilladelucas,Camilla de Lucas,Beauty,NA,10800000,Brazil,205200,376800
camilo,C A M I L O,Music,NA,26400000,Argentina,252300,398900
camimendes,camila mendes,Cinema & Actors/actresses,NA,26800000,Brazil,1100000,1600000
canelo,Saul Alvarez,Fitness & Gym,NA,12800000,Mexico,203000,282200
canyaman,Can Yaman,Cinema & Actors/actresses,Modeling,9300000,Italy,324400,402800
caradelevingne,Cara Delevingne,Modeling,Cinema & Actors/actresses,43300000,United States,130100,182800
carlinhosmaiaof,Carlinhos Maia🌻,Lifestyle,NA,24800000,Brazil,441900,810700
carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,Computers & Gadgets,Machinery & Technologies,1.5e+07,India,885800,1e+06
casemiro,Casemiro,Sports with a ball,NA,1.4e+07,Spain,149800,224100
caviarmagnat,by Tregubov,NA,NA,13300000,Russia,148600,214400
cazzu,♡ 𝖓𝖊𝖓𝖆 ᴛʀᴀᴍᴘᴀ,Music,NA,9800000,Argentina,396200,508000
cbum,Chris Bumstead,Fitness & Gym,NA,6600000,United States,248700,410600
celestebarber,Celeste Barber,Humor & Fun & Happiness,NA,8900000,United States,364800,393200
chaelincl,CL,Art/Artists,Fashion,9800000,Brazil,259000,342500
championsleague,UEFA Champions League,Sports with a ball,NA,91400000,Brazil,255300,344400
channingtatum,Channing Tatum,Cinema & Actors/actresses,NA,1.7e+07,United States,272100,393200
charles_leclerc,Charles Leclerc,Racing Sports,NA,6600000,Italy,473900,629200
charlidamelio,cd,Lifestyle,Shows,47700000,United States,1500000,1900000
charlieputh,Charlie Puth,Music,NA,15700000,United States,320500,456200
chelseafc,Chelsea FC,Sports with a ball,NA,33200000,Indonesia,115700,172400
chiaraferragni,Chiara Ferragni ✨,Beauty,NA,26700000,Italy,372000,616600
chloegmoretz,Chloë Grace Moretz,Cinema & Actors/actresses,NA,20100000,United States,292900,392500
choi_seung_hyun_tttop,T.O.P,NA,NA,13600000,Indonesia,337700,400700
choquei,CHOQUEI - BBB22,Literature & Journalism,NA,1.7e+07,Brazil,90100,279500
chrisbrownofficial,BREEZY,Music,NA,1.06e+08,United States,157100,241900
chrisevans,Chris Evans,NA,NA,14800000,United States,2e+06,2400000
chrishemsworth,Chris Hemsworth,Cinema & Actors/actresses,NA,5.4e+07,India,776600,998100
chrissyteigen,chrissy teigen,Shows,Modeling,37400000,United States,158000,205500
ciara,Ciara,Music,Modeling,31300000,United States,199400,270600
claaragalle,Clara Galle🌀,NA,NA,3200000,Mexico,425200,771600
claireholt,Claire Holt,Cinema & Actors/actresses,Lifestyle,7400000,United States,304100,415400
claragnds,Maria Clara Garcia,NA,NA,6400000,Brazil,153400,386600
clean_0828,김세정,Lifestyle,NA,5500000,Indonesia,1300000,1600000
cocielo,Júlio Cocielo Estaniecki,Cinema & Actors/actresses,NA,17800000,Brazil,360600,564800
coldplay,Coldplay,Music,NA,15400000,Brazil,274000,381300
cole.labrant,Cole LaBrant,Lifestyle,Fashion,5e+06,United States,412600,580800
colesprouse,Cole Sprouse,Modeling,NA,3.6e+07,United States,352700,459300
colleen,Colleen Ballinger,Family,Fashion,7500000,United States,368300,463600
conangray,Conan Gray,Music,NA,5700000,Brazil,785400,1200000
courteneycoxofficial,Courteney Cox,Cinema & Actors/actresses,NA,12100000,India,319900,421900
cristiano,Cristiano Ronaldo,Sports with a ball,NA,419600000,India,5700000,7e+06
cvillaloboss,CARMEN VILLALOBOS,Shows,Cinema & Actors/actresses,19200000,Colombia,247300,305100
cznburak,Burak Özdemir,Food & Cooking,NA,32900000,Turkey,615200,836000
d_a___m_i,KIM DA MI,NA,NA,4300000,Indonesia,1100000,1400000
d_degeaofficial,David De Gea,Sports with a ball,NA,12900000,United Kingdom,306800,434400
daddyyankee,Daddy Yankee,Music,NA,44900000,Argentina,1300000,1800000
dagelan,Dagelan,Humor & Fun & Happiness,NA,20600000,Indonesia,83400,140500
danbilzerian,Dan Bilzerian,Cinema & Actors/actresses,NA,32800000,India,1300000,2100000
danialves,Daniel Alves,Sports with a ball,NA,35700000,Brazil,170600,264900
daniel.k.here,Daniel Kang,Lifestyle,NA,4800000,Indonesia,458900,577400
danielricciardo,Daniel Ricciardo,Racing Sports,NA,6600000,United States,361100,469200
dannapaola,Danna Paola,Music,NA,33500000,Mexico,931600,1300000
daquan,Daquan,Humor & Fun & Happiness,NA,16800000,United States,364200,561900
darshanravaldz,Darshan Raval #Goriye,Music,NA,14800000,India,205900,249100
dava_m,Дава Ⓜ️ Всё будет хорошо🧸,Business & Careers,NA,13700000,Russia,166000,215900
davidalaba,David Alaba,Sports with a ball,NA,8500000,Spain,301400,426700
davidbeckham,David Beckham,Family,Sports with a ball,71900000,India,500400,641100
davidluiz23,David Luiz,Sports with a ball,NA,21200000,Brazil,69800,152400
davido,Davido,Music,NA,23300000,Nigeria,184900,259300
davidwarner31,David Warner,Sports with a ball,NA,9100000,India,238200,279700
davikah,davikah,Modeling,NA,15900000,Thailand,355300,460800
dbook,Devin,NA,NA,5100000,United States,248800,489000
ddlovato,Demi Lovato,Music,NA,128700000,United States,319800,418400
dean.schneider,Dean Schneider,Animals,NA,10100000,India,271500,348200
dearra,De'arra Taylor,Lifestyle,NA,6e+06,United States,236900,589900
debbyryan,Debby Ryan,Music,Cinema & Actors/actresses,16700000,United States,169400,246400
deepikapadukone,Deepika Padukone,Cinema & Actors/actresses,NA,65500000,India,347200,450300
deiveleonardo,Deive Leonardo,Literature & Journalism,Trainers & Coaches,10800000,Brazil,234300,431400
demetozdemir,Demet Özdemir,Cinema & Actors/actresses,NA,1.5e+07,Turkey,335600,449000
demirose,Demi 🌹,Modeling,Lifestyle,19200000,United States,395900,515000
dew_jsu,2000,NA,NA,4500000,Indonesia,798400,1100000
dhanushkraja,Dhanush,Cinema & Actors/actresses,NA,4200000,India,685100,886300
diddy,LOVE,Music,Cinema & Actors/actresses,18400000,United States,109400,164500
diljitdosanjh,DILJIT DOSANJH,Cinema & Actors/actresses,NA,12900000,India,203300,244700
dindahw,Dinda Hauw,Cinema & Actors/actresses,NA,13900000,Indonesia,288800,431500
dishapatani,disha patani (paatni) 🦋,Cinema & Actors/actresses,Lifestyle,49600000,India,909300,1100000
divyankatripathidahiya,Divyanka Tripathi Dahiya,Shows,Cinema & Actors/actresses,18900000,India,146500,168200
dixiedamelio,dixie,Music,Clothing & Outfits,25100000,United States,293000,430300
djokernole,Novak Djokovic,Sports with a ball,NA,10400000,Serbia,195700,240900
djsnake,djsnake,Music,NA,9100000,India,362200,429600
djxiao_888,XIAOJUN,NA,NA,6600000,Indonesia,1100000,1300000
dkharbour,David Harbour,Cinema & Actors/actresses,NA,6200000,United States,352200,461500
dlwlrma,이지금 IU,Art/Artists,NA,25800000,South Korea,2900000,3500000
dntlrdl,CHOIWOOSHIK,Lifestyle,NA,5900000,Indonesia,1500000,2e+06
do0_nct,Doyoung,NA,NA,9800000,Indonesia,1400000,1900000
dojacat,Doja Cat,Music,NA,22400000,United States,2800000,3900000
domelipa,domelipa,Lifestyle,NA,17200000,Mexico,1100000,1300000
dominicfike,NA,NA,NA,3700000,United States,419900,799000
donya,Donya,Fashion,NA,14700000,Iran,379800,596700
dovecameron,DOVE,Cinema & Actors/actresses,NA,46400000,United States,618500,807200
dqsalmaan,Dulquer Salmaan,Cinema & Actors/actresses,NA,10200000,India,176800,239600
dra.deolanebezerra,Deolane Bezerra,NA,NA,13200000,Brazil,352000,754100
drewstarkey,Drew Starkey,NA,NA,3200000,United States,630200,1200000
dualipa,DUA LIPA,Music,NA,81600000,Mexico,2200000,2700000
dudewithsign,Seth,NA,NA,8100000,United States,4e+05,628500
dukeandduchessofcambridge,Duke and Duchess of Cambridge,Family,Finance & Economics,13500000,N/A,0,214200
dukissj,Ya Supiste,Music,NA,9e+06,Argentina,607200,1100000
dylanminnette,Dylan Minnette,Music,Cinema & Actors/actresses,7300000,United States,215700,350400
dylansprouse,Dylan Sprouse,Cinema & Actors/actresses,NA,9300000,United States,350300,549800
e_milygarcia,Emily Garcia,Cinema & Actors/actresses,NA,1.1e+07,Brazil,230100,380500
earthpix,🌎  EarthPix  🌎,Nature & landscapes,Photography,22700000,United States,118700,145900
easportsfifa,EA SPORTS FIFA,Sports with a ball,NA,25800000,Spain,70900,118300
ebi,EBI,Music,NA,10300000,Iran,193600,260500
ederbez,Eugenio Derbez,Cinema & Actors/actresses,Lifestyle,18100000,Mexico,248300,278900
egorkreed,Егор Крид | #HeartBreakKid,Music,NA,14700000,Russia,322600,396900
eilirjani,Elton ILIRJANI,Lifestyle,NA,9500000,Albania,423900,611600
elcinsangu,Elçin Sangu,Cinema & Actors/actresses,Lifestyle,8300000,Turkey,284600,342800
eliana,Eliana Michaelichen,Music,Shows,29600000,Brazil,119300,151500
ellenpompeo,Ellen Pompeo,Cinema & Actors/actresses,Lifestyle,1e+07,Brazil,285800,495800
elnazshakerdoost,Elnaz Shakerdoost🎬,Cinema & Actors/actresses,NA,9500000,Iran,219000,295700
elrodrigocontreras,ROD🥴,Lifestyle,NA,12700000,Mexico,563100,620800
elrubiuswtf,el rubius WTF,Computers & Gadgets,NA,16200000,Mexico,1400000,1500000
emilia_clarke,NA,Cinema & Actors/actresses,NA,2.7e+07,India,490500,617200
emiliamernes,Emilia Mernes,Music,NA,4900000,Argentina,549500,1e+06
eminem,Marshall Mathers,Cinema & Actors/actresses,Music,35600000,Iran,771200,993500
emmachamberlain,emma chamberlain,Lifestyle,Shows,15300000,United States,1100000,1700000
emmaroberts,Emma Roberts,Cinema & Actors/actresses,NA,17700000,United States,266400,392400
emrata,Emily Ratajkowski,Modeling,NA,2.9e+07,United States,475400,758700
enhypen,ENHYPEN,NA,NA,9600000,Indonesia,1500000,2100000
erling.haaland,Erling Braut Haaland,NA,NA,14800000,Brazil,541800,811000
esbilgic,Esra Bilgic,Lifestyle,Modeling,6700000,India,319100,407100
ester_exposito,Ester 🌙,Cinema & Actors/actresses,NA,2.9e+07,Russia,2900000,4300000
eunwo.o_c,차은우,Music,Lifestyle,27400000,Indonesia,3600000,4500000
euphoria,euphoria,NA,NA,7900000,United States,1100000,1800000
evaluna,Evaluna Montaner de Echeverry,Family,Music,19800000,Argentina,812100,1100000
evcenf,Fahriye Evcen Özçivit,Lifestyle,Beauty,12800000,Turkey,375600,473300
ewsbdi,로운,NA,NA,4200000,Indonesia,488600,730200
f1,FORMULA 1®,Racing Sports,NA,18300000,Italy,266600,337700
fabriziorom,Fabrizio Romano,Literature & Journalism,Shows,6400000,Italy,328900,570600
fadiljaidi,Fadil Jaidi,Lifestyle,NA,7e+06,Indonesia,581500,873000
faz3,Fazza,Lifestyle,NA,1.4e+07,United Arab Emirates,257300,337900
fcbarcelona,FC Barcelona,Sports with a ball,NA,107100000,Indonesia,450100,687900
fcbayern,FC Bayern,Sports with a ball,NA,31800000,Germany,115000,167400
fedez,FEDEZ,Music,NA,13700000,Italy,725500,1e+06
feliciathegoat,"Tyler, The Creator",Music,NA,12400000,United States,1e+06,1700000
felicyangelista_,Felicya Angelista,Family,NA,2.1e+07,Indonesia,107000,147800
felipeneto,Felipe Neto 🦉,Lifestyle,NA,15400000,Brazil,166100,236000
fifaworldcup,FIFA World Cup,Sports with a ball,NA,25500000,India,71200,109100
florencepugh,Florence Pugh,Humor & Fun & Happiness,Cinema & Actors/actresses,7200000,United States,926400,1400000
for_everyoung10,장원영 WONYOUNG,NA,NA,3600000,Indonesia,733900,926900
fortnite,Fortnite,Computers & Gadgets,NA,26100000,United States,102100,120300
francety,Francia James,Adult content,NA,10600000,India,250400,328300
francinyehlke,FЯAN,Beauty,NA,15200000,Brazil,86400,188600
frenchmontana,French Montana,Music,NA,24500000,United States,91500,151600
frenkiedejong,Frenkie de Jong,Sports with a ball,NA,1e+07,Spain,528600,792500
fuckjerry,FUCKJERRY,Humor & Fun & Happiness,NA,16600000,United States,405300,523100
fuji_an,Fujianti Utami Putri,NA,NA,10300000,Indonesia,531800,1300000
gabigol,Gabi 🇧🇷 Lil Gabi,Sports with a ball,NA,9600000,Brazil,282000,427000
gal_gadot,Gal Gadot,Cinema & Actors/actresses,NA,7.7e+07,United States,597500,771600
galatasaray,Galatasaray,Sports with a ball,NA,11100000,Turkey,254400,307800
garethbale11,Gareth Bale,Sports with a ball,NA,46300000,Spain,402200,633900
gatenm123,Gaten Matarazzo,Music,Cinema & Actors/actresses,13600000,Brazil,449500,594100
geneliad,Genelia Deshmukh,Cinema & Actors/actresses,NA,9600000,India,444400,550600
georgenotfound,GeorgeNotFound,NA,NA,3100000,United States,997800,1100000
georginagio,Georgina Rodríguez,Lifestyle,Fashion,36500000,India,2500000,3500000
gessicakayane,GKAY,Shows,Humor & Fun & Happiness,19300000,Brazil,173600,357900
ggonekim,NA,NA,NA,5100000,Indonesia,441600,542600
gianlucavacchi,Gianluca Vacchi,Lifestyle,NA,22200000,Brazil,511400,787200
giannis_an34,Giannis Antetokounmpo,Sports with a ball,NA,12300000,United States,217800,344600
gigihadid,Gigi Hadid,Modeling,Lifestyle,73200000,United States,1900000,2800000
gildovigor,GIL DO VIGOR,NA,NA,1.5e+07,Brazil,442500,612200
gima_ashi,Garima Chaurasia 💙,Lifestyle,NA,13900000,India,145100,197800
gioewbank,Giovanna Ewbank,Cinema & Actors/actresses,Modeling,2.8e+07,Brazil,181400,290600
gisele,Gisele Bündchen,Modeling,Fashion,18900000,Brazil,274600,408000
goar_avetisyan,Goar Avetisyan,Beauty,NA,11500000,Russia,510500,707900
golfarahani,Golshifteh Farahani,Cinema & Actors/actresses,NA,12600000,Iran,307500,395700
grantgust,Grant Gustin,Cinema & Actors/actresses,Fashion,7800000,Brazil,343400,487300
greeicy,Greeicy,Shows,Cinema & Actors/actresses,20400000,Colombia,201400,270900
